english,darija,darija_ar
It's as you wish,kifma bghiti,كيفما بغيتي 
Can you tell me more?,ta9dar tgolia liya ktar?,تاقدار تڭوليا لييا كتار? 
Work is stressful,lkhdma mor8i9a,لخدما مورهيقا 
My husband doesn't understand how stressful my job is,rajli makayfhamch ch7al kat3yyi khdmti,راجلي ماكايفهامش شحال كاتعيّي خدمتي 
Did you tell her that?,wach glti liha hadchi,واش ڭلتي ليها هادشي 
He says that if I don't like my job then change it,kaygol ila ma3jbatnich lkhdma nbdlha,كايڭول إلا ماعجباتنيش لخدما نبدلها 
I work as a project manager for a big corporate company,kankhdam modir machro3 fcharika kbira,كانخدام مودير ماشروع فشاريكا كبيرا 
He's unemployed at the moment,hoa makhadamch fhad lwa9t,هوا ماخادامش فهاد لواقت 
he isn't making much effort to get a new job,hoa makaybdalch mj8oud bach il9a khdma jdida,هوا ماكايبدالش مجهود باش إلقا خدما جديدا 
His situation doesn't make him put himself in your position,lwaD3 dyalo makaykhalihch y7at raso fblastak,لواضع ديالو ماكايخاليهش يحات راسو فبلاستاك 
because they have to spend some relaxing days,7it khashom ydawzo chi yamat dyal ra7a,حيت خاسهوم يداوزو شي يامات ديال راحا 
"He's resting a lot on you, obviously.","hoa mtkki 3lik bzaf, bayna","هوا متكّي عليك بزاف, باينا "
And I guess he's a little bored during the day,o kanadan bila kay7as blmalal chwiya fnhar,أُ كانادان بيلا كايحاس بلمالال شوييا فنهار 
he would like to find you available at night,kaybghik tkoni mojoda flil,كايبغيك تكوني موجودا فليل 
Yes and I'm bringing in the money,ah o ana kanjib lflous,أه أُ أنا كانجيب لفلوس 
I can't afford to change jobs at the moment or be unemployed,man9darch nt7amal nbddl lkhdami fhad lwa9t wla mankonch khddama,مانقدارش نتحامال نبدّل لخدامي فهاد لواقت ولا مانكونش خدّاما 
I get in from work and still have to cook.,kandkhol mn lkhdma o kaykhasni nTayab,كاندخول من لخدما أُ كايخاسني نطاياب 
Do you have any suggestions as to how I talk to him about this?,wach 3ndak chi 9tira7at kifach ndwi m3ah fhadchi?,واش عنداك شي قتيراحات كيفاش ندوي معاه فهادشي? 
You could talk to him about your feelings,t9adri dwi m3ah 3la lmacha3ir dyalk,تقادري دوي معاه علا لماشاعير ديالك 
tell him you're tired and you need his help,goli lih billa raki 3yana o ma7taja lmosa3ada dyalo,ڭولي ليه بيلّا راكي عيانا أُ ماحتاجا لموساعادا ديالو 
give him a reason to do it,3tih sabab bach ydir8a,عتيه ساباب باش يديرها 
"Hello, this is the first time I've seen you here!","ahlan, hadi awal mrra kanchofk 8na","أهلان, هادي أوال مرّا كانشوفك هنا "
Oh really!,wayli!,وايلي! 
That's funny,hadchi moD7ik,هادشي موضحيك 
I've been coming here for a while,mn ch7al hadi wana kanji l8na,من شحال هادي وانا كانجي لهنا 
It's lovely here,zwiwen 8na,زويون هنا 
"Yes, it's very nice.",ah rah zwiyen bzaf,أه راه زويين بزاف 
I try to give more to the ducks and swans than these greedy seagulls,kan7awal n3ti lbaT o lbaja3 ktar mn had nawras TTmma3,كانحاوال نعتي لباط أُ لباجاع كتار من هاد ناوراس الطمّاع 
Careful!,rad lbal,راد لبال 
Careful!,kon 3la bal,كون علا بال 
Careful!,attention,أتّنتيون 
Don't fall in,matti7ch,ماتّيحش 
"Thank you, I tripped!","chokran lik, rah t3akalt!","شوكران ليك, راه تعاكالت! "
"I wanted to see the ducks again, they're so cute!","bghit nchof lbaT mrra khra, rahom zwinin bzaf","بغيت نشوف لباط مرّا خرا, راهوم زوينين بزاف "
Is that your dog?,wach hada lkalb dyalk?,واش هادا لكالب ديالك? 
He's lovely,hoa fnikich,هوا فنيكيش 
"His name is Fetna, it's a long story","smiyto Fetna, 9iSa Twila","سمييتو فتنا, قيصا طويلا "
I like to walk around here,kay3jbni ntmcha fhad nawa7i,كايعجبني نتمشا فهاد ناواحي 
have you ever been in the woods nearby?,wach 3amrak knti flghaba l9riba?,واش عامراك كنتي فلغابا لقريبا? 
Oh I never go near the woods,"oh, ana makanmchich 7da lghaba","أُه, أنا ماكانمشيش حدا لغابا "
Tell me about Fatna,3awd liya 3la Fatna,عاود لييا علا فاتنا 
It's not a name I've ever heard before,hadi machi chi smiya fayt sam3 biha mn 9bal,هادي ماشي شي سمييا فايت سامع بيها من قبال 
"It's quite simple, actually","rah sa8la, sara7a","راه ساهلا, ساراحا "
"She was born on the day of the holiday and so we agreed to call her Fetna, as in the calendar",twldat nhar l3id o taf9na nsamiwha Fetna kif f yawmia,تولدات نهار لعيد أُ تافقنا نساميوها فتنا كيف ف ياوميا 
"It's silly, but it made us laugh with my parents","hadchi sakhif, walakin khlana nda7ko m3a walidia","هادشي ساخيف, والاكين خلانا نداحكو معا واليديا "
It's silly,hadchi 3abiT,هادشي عابيط 
It's a good thing they didn't process their kids' names,rah 7aja mzyana ma3aljoch smiya dyal wladhom,راه حاجا مزيانا ماعالجوش سمييا ديال ولادهوم 
Why?,3lach?,علاش? 
Because you'd be called Lent or something,7it ghadi itmmaw Lent wla chi 7aja b7al hakka,حيت غادي إتمّاو لنت ولا شي حاجا بحال هاكّا 
I am a bit of a heathen,ana wathani chwiya,أنا واتهاني شوييا 
I don't know anything about holy days or religious events,ana ma3arft ta haja 3la had liyam lmo9adassa wla lmonasabat diniya,أنا ماعارفت تا هاجا علا هاد لييام لموقاداسّا ولا لموناسابات دينييا 
Sorry,sma7 liya,سماح لييا 
"Imagine being born on the day of Saint Ignatius, or Ascension Day",tkhayal ttold fyawm l9idis Ignatius wla 3id SSo3od,تخايال التولد فياوم لقيديس إڭناتيوس ولا عيد الصوعود 
Ha ha!,ha ha,ها ها 
No I see what you mean now,la 3rft ach kat3ni daba,لا عرفت أش كاتعني دابا 
"Oh look, is that a Heron over there","oh chof, hadak Heron l8i8","أُه شوف, هاداك هرون لهيه "
How beautiful!,ch7al zwin!,شحال زوين! 
I must take a picture of it,khasni nakhod liha tswira,خاسني ناخود ليها تسويرا 
Don't get too close!,mat9rrbch bzaf!,ماتقرّبش بزاف! 
It's a really nice place,blasa zwina hadi sara7a,بلاسا زوينا هادي ساراحا 
Do you live far from here?,wach kat3ich b3id 3la 8na,واش كاتعيش بعيد علا هنا 
"Wait, I have to catch my dog","tsna, khasni nchd klbi","تسنا, خاسني نشد كلبي "
I have to go,khasni nmchi,خاسني نمشي 
I live over there,ana kan3ich l8i8,أنا كانعيش لهيه 
Oh look I can't wait till you catch him,oh chouf ana man9darch ntsna 7ta tchado,أُه شوف أنا مانقدارش نتسنا حتا تشادو 
Might see you tomorrow,imkn nchofk ghdda,إمكن نشوفك غدّا 
what kind of butter?,chmn naw3 dyal zbda?,شمن ناوع ديال زبدا? 
And what vegetables do we serve these fish?,o achnahiya lkhodra lighadi ta3tiha lhad l7ot?,أُ أشناهييا لخودرا ليغادي تاعتيها لهاد لحوت? 
We'll have a garlic butter,ghadi ykon 3ndna zabda dyal toma,غادي يكون عندنا زابدا ديال توما 
I'd rather go home,7sn lia nmchi lddar,حسن ليا نمشي لدّار 
"Well as you asked about vegetables, I only gave my choice of vegetables, not other accompaniaments","wakha, 7it swlti 3la lkhodra, ana 3Tit ghir lkhiyar dyal lkhodra, machi chi morafi9at khra","واخا, حيت سولتي علا لخودرا, أنا عطيت غير لخييار ديال لخودرا, ماشي شي مورافيقات خرا "
I don't think pasta and fish go well together,makanDnch ch3ria o l7ot kayjiw mzyan m3a b3Diyathom,ماكانضنش شعريا أُ لحوت كايجيو مزيان معا بعضيياتهوم 
we all have different preferences,kolna 3ndna raghabat makhtalfa,كولنا عندنا راغابات ماختالفا 
What do you think about potatoes?,achno ra2yak f lbTaTa?,أشنو راإياك ف لبطاطا? 
"No, no potatoes with a fish, depending on my taste","la, la bTaTa m3a l7ot, 7sab daw9 dyali","لا, لا بطاطا معا لحوت, حساب داوق ديالي "
"What do you think, sir?",ach ban lik asidi?,أش بان ليك أسيدي? 
Vegetable it is,lkhodra hia li kayna,لخودرا هيا لي كاينا 
The customer can always add a side order if they wish,lklyan i9dr dima izid Talab janibi ila bgha,لكليان إقدر ديما إزيد طالاب جانيبي إلا بغا 
Now can you start prepping the potatoes,daba t9dr twjjd bTaTa,دابا تقدر توجّد بطاطا 
that seems a lot,ban liya hadchi bzaf,بان لييا هادشي بزاف 
What's the wine?,achnahowa chrab?,أشناهووا شراب? 
A white or a rosé?,byaD wla wardi?,بياض ولا واردي? 
Now what for dessert?,o daba chno f ddisir?,أُ دابا شنو ف الديسير? 
I suggest a light dessert,kan9tara7 disir khfif,كانقتاراح ديسير خفيف 
Maybe something lemony?,momkin chi 7aja b limoun?,مومكين شي حاجا ب ليمون? 
Lemon tart perhaps?,torta dyal limon imkn?,تورتا ديال ليمون إمكن? 
a light dessert sounds like a good idea,disir khfif kayban fikra zwina,ديسير خفيف كايبان فيكرا زوينا 
Either a lemon pie or a pineapple,ima 7lwa dyal limon wla ananas,إما حلوا ديال ليمون ولا أناناس 
Both my favourites,bjojhom kanfadlohom,بجوجهوم كانفادلوهوم 
Which do you prefer?,achmn wa7da katbDDel,أشمن واحدا كاتبضّل 
I'll let you choose as you'll be the one making it,ghadi nkhalik takhtar 7it nta lighadi t9adha,غادي نخاليك تاختار حيت نتا ليغادي تقادها 
It's hard to choose,s3ib nkhtar,سعيب نختار 
"Personally, I will do pineapple slices with Armagnac",ana chakhsiyan ghadi ndir chara2i7 dyal anans o Armagnac,أنا شاخسييان غادي ندير شاراإح ديال أنانس أُ أرماڭناك 
Shall I make you a hot chocolate?,wach n9ad lik choklat skhon?,واش نقاد ليك شوكلات سخون? 
Everything will seem better after a nice warm drink,"ghadi ywlli kolchi 7san, mora machrob dafi2 laTif","غادي يولّي كولشي حسان, مورا ماشروب دافيء لاطيف "
"That's sweet, but I prefer coffee","hada 7lo, walakin kanfaDal l9ahwa","هادا حلو, والاكين كانفاضال لقاهوا "
With sugar but the ideal would be a caipirinha!,m3a sokar walakin a7san haja ghatkon hia caiprinha!,معا سوكار والاكين أحسان هاجا غاتكون هيا كايپرينها! 
Oh dear!,ya salam!,يا سالام! 
It must have been a really tough day,bayna kan nhar s3ib bzaf,باينا كان نهار سعيب بزاف 
Would you like to talk about it?,bghiti tahdar 3lih,بغيتي تاهدار عليه 
What went on at work in the end?,chno tra flkhdma flkhr?,شنو ترا فلخدما فلخر? 
Did you manage to meet the deadline?,wach 9darti twfi blmw3id niha2i?,واش قدارتي توفي بلموعيد نيهاإ? 
"Yes, very hard day","ayah, nhar S3ib bzaf.","أياه, نهار صعيب بزاف. "
We have lost an important contract and we don't understand why,khasrna contrat mohima omaf8amnach 3lach,خاسرنا كونترات موهيما أُمافهامناش علاش 
Did they not explain why?,machr7och 3lach?,ماشرحوش علاش? 
No explanations at all?,mafsroch ga3?,مافسروش ڭاع? 
"Yes, of course we had some explaining to do","ah, btabi3t l7al kan 3ndna char7 ndiroh","أه, بتابيعت لحال كان عندنا شارح نديروه "
"We don't, according to them, responded to all their technical requirements","7na makanstajboch, 3la 7sab hdarthom, l ga3 almotatllabat tti9nia dyalhom.","حنا ماكانستاجبوش, علا حساب هدارتهوم, ل ڭاع ألموتاتلّابات التيقنيا ديالهوم. "
"Besides, we were too expensive","o zid 3la dakchi, knna ghalyin ftaman.","أُ زيد علا داكشي, كنّا غاليين فتامان. "
Whose job was it to negotiate the contract?,chkoun li kan khasso itfawd 3la l3a9d?,شكون لي كان خاسّو إتفاود علا لعاقد? 
Surely there's some way to lower the prices a bit?,Tab3an kant chi Tari9a bach i8bat taman chwiya?,طابعان كانت شي طاريقا باش إهبات تامان شوييا? 
Let us go do some archery,khalina nmchiw nadiro chwia t rimaya,خالينا نمشيو ناديرو شويا ت ريمايا 
It was really good fun yesterday,kan momti3 lbar7 blm39ol,كان مومتيع لبارح بلمعقول 
I am sure you would enjoy it!,ana mat2ked anak knti ghadi tstamta3 bih!,أنا ماتءكد أناك كنتي غادي تستامتاع بيه! 
"Uhhhh, archery?","Uhhhh, rimaya?","وهههه, ريمايا? "
It's quite original,hadchi original,هادشي أُريڭينال 
Can we do this close?,wach momkin nadiroh o7na 9rab hakka?,واش مومكين ناديروه أُحنا قراب هاكّا? 
