o mat8azch l8amm l l7wayj,And don't worry about the clothes,و ماتحازش الهم للحوايج
ana labs chi haja b7alha!,I'm wearing something very similar myself!,أنا لابس شي حاجة بحالها!
kifach wSlna l8na?,How did we get here?,كيفاش وصلنا لهنا؟
kna kantmchaw flghaba lmodda twila,We have been walking in the forest for a long time,كنا كانتمشاو في الغابة المدة طويلة
kayban bli wSalna ltari9 msdod,we seem to have come to a dead end,كايبان بلي وصلنا لطريق مسدود
ana fia lbard,I'm cold,أنا فيا البرد
jani lbard,I'm cold,جاني البرد
wach 3rfti imta dkhlna lghaba?,Do you know when we entered the forest?,واش عرفتي إمتا دخلنا الغابة؟
o fia jo3,And hungry,و فيا الجوع
rah dazt tlata dyal sway3,It's been three hours,راه دازت تلاتة ديال السوايع
"la, nta at7aj liha 7Ta nta","No, you need it, too",لا، نتا اتحاج ليها حتى نتا
3ndi chwiya dya biskwit,I have got some biscuits,عندي شوية ديال البسكويت
wach bghiti chwiya?,would you like some?,واش بغيتي شوية؟
achno kadan bli aykhasna ndiroh?,What do you think we should do?,اشنو كدان بلي ايخاصنا نديروه؟
achno kayballik aykhasna ndiro?,What do you think we should do?,اشنو كايباللك ايخاصنا نديرو؟
kan39l mli kna 9dam lkokh,I remember when we were in front of a cabin,كانعقل ملي كنا قدام الكوخ
aykhasna nl9awha,We should find her,ايخاصنا نلقاوها
wach kadan bli aykhsna ntab3o lkhtwat dyalna?,Do you think we should retrace our steps?,واش كدان بلي ايخاصنا نتبعو الخطوات ديالنا؟
maghaydozch bzaf dyal lwa9t 7ta ibda iTi7 dlam,It is not long till it will start getting dark,ماغايدوزش بزاف ديال الوقت حتى يبدا يطيح الظلام
mttaf9,I agree,متفق
aykhasna n7awlo nl9aw lma9sora,we should try to find the cabin,ايخاصنا نحاولو نلقاو المقصورة
3ndi chwiya dyal lma,I have some water,عندي شوية ديال الما
bghiti chwiya?,would you like some?,بغيتي شوية؟
fkkarti fkolchi!,You thought of everything!,فكرتي فكلشي!
khalina n7awlo n7tafdo blma olbaskwit lmn b3d,Let's try to keep the water and the cookies for later,خلينا نحاولو نحتافظو بالما والبسكويت لمن بعد
ana mamndamch fl3ada,I'm not usually organised,أنا مامندمش فالعادة
walakin tfakart l2asasyat had lmra,but I remembered the basics this time,ولاكن تفكرت الأساسيات هاد المرة
wach 3ndak ppil?,Do you have a torch?,واش عندك بيل؟
"La, m3a l2asaf","No, unfortunately",لا، مع الأسف
"La, lil asaf","No, unfortunately",لا، للأسف
"blmonasaba, wach 3andak tilifon?","By the way, do you have your cell phone?",بالمناسبة، واش عندك تيليفون؟
"wakha, kanftarad bli imkan lina nstakhdmo lportabl b7al dow","Well, I suppose we could use my phone as a light",واخا، كانفترض بلي امكان لينا نستخدمو البورتابل بحال داو
wach tilifonk mcharji?,Is your phone charged up?,واش تيليفونك مشارجي؟
kan 3ndak b7al l2afkar dyali!,You had the same thoughts as me!,كان عندك بحال الأفكار ديالي!
ma3ndi tta chi batri,I don't have any battery,ماعندي تا شي بطارية
"ozid 3la dakchi, ma3ndnach rrizo","And besides, we don't have a signal",وزيد على داكشي، ماعندناش ريزو
ghadi n7tajo n3awlo 3la tilifoni,We will need to rely on my phone,غادي نحتاجو نعاولو على تيليفوني
a mimti hadchi ghaykhl9 mochkil,Oh dear that will be a problem,أ ممتي هادشي غايخلق مشكيل
mn l2a7san lina nt7arko,We had better get to move on,من الأحسن لينا نتحركو
tsana!,Wait!,تسنا!
fin katghrb chams?,Where does the sun set?,فين كاتغرب الشمس؟
mnin katghrob chmch?,Where does the sun set?,منين كاتغروب الشمس؟
wach katghrob mn dik jjiha?,It is setting in that direction,واش كاتغروب من ديك الجهة؟
aykhso ikon flgharb!,it must be the west!,ايخصو يكون فالغرب!
ahlan madame Smith,Hi Miss Smith,أهلا مدام سميث
wach imkan tchr7i lia kifach ndir had lkhadma 3afak?,can you explain how I do this piece of work please?,واش امكان تشرحي ليا كيفاش ندير هاد الخدمة عفاك؟
mkanfhamch bsa7 achni aykhasni ndir.,I don't really understand what it is I have to do,مكنفهمش بصح اشني ايخاصني ندير.
li kanTlb mnnek,What I'm asking you,لي كانطلب منك
hada 3amal jama3i,it's a team effort,هادا عمل جماعي
m3a Talaba khrin,with other students,مع طلبة آخرين
aykhsak tjma3 majmoa3at mn tlata dyal Talaba,You have to assemble groups of three students,ايخاصك تجمع مجموعات من تلاتة ديال الطلبة
o t9ad tajriba kimya2ia,And prepare a chemistry experiment,و تقد تجربة كيميائية
bach t9adamha chafawiayn ltolab lakhrin,to present by oral to other students,باش تقدمها شفوياين للطلب الآخرين
bach njik dirikt,To be honest,باش نجيك ديركت
makanbghich nkhdm f mjmo3a 7it f nihaya lmataf kandir lkhdma kollha,I don't like working in a team as I end up doing all the work,مكانبغيش نخدم فمجموعة حيت فنهاية المطاف كاندير الخدمة كلها
o lkhrin flmjmo3a kayddiw lfadl,and the rest of the team take the credit,و الآخرين فالمجموعة كايديو الفضل
ghadi n9ayyam8om,I'm going to evaluate them,غادي نقيمهوم
hadchi 3adil,That's fair,هادشي عادل
hadchi m39ol,That's fair,هادشي معقول
ghadi nkhtar chi achkhas ali makankhdamch m3ahom 3adatan,I'll chose some people I don't normally work with,غادي نختار شي أشخاص اللي ماكانخدمش معاهم عادتا
ch7al dyal lwa9t aykhasna bach njahzo tajriba?,How long do we have to prepare the experiment?,شحال ديال الوقت ايخاصنا باش نجهزو التجربة؟
ch7al hya lmodda dyal l3arad lighadi ngol chafawian?,How long is the oral presentation?,شحال هي المدة ديال العرض ليغادي نقول شفويان؟
3ndak 15 lyom 9bal nhar l3ard t9dimi bach tSawb chghlk,You've got 15 days before the presentation date to get the job done,عندك 15 يوم قبل نهار العرض تقديم باش تصوب شغلك
onhar tajriba,And the day of experimentation,ونهار التجربة
3achra d9aya9,ten minutes,10 دقائق
3chrin d9i9a dyal l3ard lighadi chafawi m3a les slides,twenty minutes of oral presentation with slides,عشرين دقيقة ديال العرض ليغادي شفوي مع السلايدز
3ndi bzaf dyal lmawa3id t l asatida lkhrin,I have a lot of deadlines from other teachers,عندي بزاف ديال المواعيد ت الأساتذة الآخرين
wach imkan nakhdo chi tamdid?,Is it possible to get an extension?,واش إمكان ناخدو شي تمديد؟
kayban l2amr S3ib chwiya,It seems a little difficult,كايبان الأمر صعيب شوية
7it maghadich ikon 3adil ltolab lakhrin,because it wouldn't be fair to the other students,حيت ماغاديش يكون عادل لطلبة الآخرين
fkkar ftajriba bsita bzaf!,Think of a very simple experience!,فكرت في تجربة بسيطة بزاف!
l8adaf 8owa n3llmk l3amal ka fari9,The goal is to teach you to work as a team,الهدف هوا نعلمك العمل ك فريق
ot3ti lrasak tajriba chafa8ya,and give yourself an oral experience,وتعطي لراسك تجربة شفاهية
ch7al mn 3alama tmma?,How many marks is there?,شحال من علامة تما؟
o natija hia 30 no9ta,Then the note is 30 points,والنتيجة هي 30 نقطة
3achra dyal no9at liha,Ten points to her,10 ديال النقاط ليها
3achra dyal no9at lkhitab chafawi,Ten points for the oral speech,10 ديال النقاط للخطاب الشفوي
o3achra dyal no9at 3la l9odra 3la lkhadma ka fari9,And ten points on the ability to work as a team,و30 ديال النقاط على القدرة على الخدمة ك فريق
7san lia nbda lkhdma,I'd better get working,حسن ليا نبدا الخدمة
"lalla, kanDn bli indar l7ari9 yallah tfa daba","Mis, I think the fire alarm has just gone off",لالا، كانظن بلي إنذار الحريق يالاه طفا دابا
wach khasna nkhwiw?,Do we need to evacuate?,واش خاصنا نخويو؟
i9dar ikon 7ari9!,It could be a fire!,إقدر يكون حريق!
i9dar tkon l3afia!,It could be a fire!,إقدر تكون العافية!
khlina nkhrjo mn lghorfa bzarba!,Let's get out of the room quickly!,خلينا نخرجو من الغرفة بزربة!
yallaho nkhrjo mn lbit bzrba!,Let's get out of the room quickly!,يالله نخرجو من البيت بزربة!
lostad lakhor dyal chimi,the other professor of Chemistry,الأستاذ الآخر ديال الكيمياء
kaydir bzaf dyal tajarib,He does a lot of new experiments,كايدير بزاف ديال التجارب
walakin hoa rah wa9af b3da l indar tl7ari9,but he's already turned the fire alarm off,ولاكن هو راه واقف بعدا لإنذار الحريق
imkan ayjriw 3lih!,Maybe he'll be fired!,إمكان يجريو عليه!
"ahlan, ana 7san mli kantl3o f l8awa2","Hi, I m better when we get in the air",أهلاً، أنا حسن ملي كانطلعو ف الهواء
"3lach, wach nta khayf f wa9t dyal l i9la3?","Why, are you afraid at the time of decolation?",علاش، واش نتا خايف ف وقت ديال الإقلاع؟
ana bsa7 makan7mlch Tayaran ga3,I really dont like flying at all,أنا بصح ماكنحملش الطياران ڭاع
wach hadi hya lmra lwla li katkon fiha f tyara?,Is this the first time you've been on a plane?,واش هادي هي المرة الأولى لي كاتكون فيها في طيارة؟
"hya rah wasila dyal na9l 2amina bzaf, makhskch tkhaf","It's an extremely safe transport, you don't need to panic",هي راه وسيلة ديال نقل آمنة بزاف، ماخصكش تخاف
safrt bzaf dyal lmrat,I've flown quite a few times,سافرت بزاف ديال المرات
kan7as btawator mli kan9l3o omli kanhabto,I just feel stressed at the going up and down,كانحس بتوتر ملي كانقلعو وملي كانهبطو
obtaba3 ila kan chi iDtirab,and obviously if there is turbulance,وتباع إيلا كان شي اضطراب
rah tyarat tSawbo bach i9awmo l2itirabat l9as7a,Planes are built so that they can resist very strong turbulence,راه طيارات تصاوبو باش يقاومو الاضطرابات القاسحة
makaynch mnach tkhaf,There's nothing to worry about,ماكاينش مناش تخاف
kan3raf nadarya walakin lkhawf machi dima 39lani,I know the theory but anxiety is not always rational,كانعرف نداري ولكن الخوف ماشي ديما عقلاني
ghadi n7awal nw9af tchghil omanfakrch fhadchi,I will try to switch off and not think about it,غادي نحاول نوقف تشغيل ومانفكرش فيهادشي
tjahlni ila bdit ntnafas,ignore me if I start over breathing,تجاهلني إيلا بديت نتنفس
"aykhsk t7awal tn3as chwiya, rah ghadi ihda2 mn tawator dyalk","You should try to sleep a little, it'll calm your stress",ايخصك تحاول تنعس شوية، راه غادي يهدأ من توتر ديالك
fin bghiti kas dyal champagne?,Where would you like a glass of champagne?,فين بغيتي كاس ديال الشمبانيا؟
rah kayli9 ta8owa,"It works, too",راه كايليق تاهوا
kandan bli champagne katban momti3a ktar,I think the champagne sounds more fun,كانظن بلي الشمبانيا كاتبان ممتعة كتر
ana machi dyal n3as fl2amakin lghariba,I'm not one for sleeping in odd places,أنا ماشي ديال نعاس في الأماكن الغريبة
wach katir bzaf,do you fly often?,واش كاتير بزاف؟
"ah, fbzaf dyal lwa9t","Yes, very often",آه، فبزاف ديال الوقت
lkhdma dyali,for my work,الخدمة ديالي
7it ana ms2oul 3la wahd charika,because I'm in charge of business,حيت أنا مسؤول على واحد الشركة
aykhsni nzor bzaf dyal lboldan,I should visit a lot of countries,ايخصني نزور بزاف ديال البلدان
"onta, 3la ach mn sabab katsafar?","And you, for what reason do you travel?",أنتا، على أي من سباب كاتسافر؟
"dorof 3a2iliya, waldi kay3ich f Paris","family stuff, my son lives in Paris",ظروف عائلية، ولدي كايعيش في باريس
kayji l ngliz bzaf walakin wlado ba9i sghar 3la ssafar bzaf,He comes to the UK often but his children are too little to travel much,كايجي لنگليز بزاف ولكن ولادو باقي صغار على السفر بزاف
cha7al mn mra kat9dri tchofihom?,How often do you get to see them?,شحال من مرة كتقدر تشوفيهم؟
ch7al f3mar l2a7fad dyalk?,What ages have your grandchildren?,شحال فعمر الأحفاد ديالك؟
ch7al f3mar lbnitat dyalk?,What ages have your daughters?,شحال فعمر البنيات ديالك؟
kat9sad tgol bli makanbanch kbira bach nkon jdda!,You meant to say I dont look old enough to be a grandma!,كتقصد تقول بلي مكنبانش كبيرة باش نكون جدة!
